"id","smiles"
40108,Cc1n(CCCN)cc[n+]1C
23918,CC(C)[C@H]1OC[C@H]([N+](C)(C)C)CO1
27616,c1ccc2c(c1)CCC[NH2+]2
7227,CN(CCO[N+](=O)[O-])[N+](=O)[O-]
41173,O=c1cc[nH]c(=O)[n-]1
39119,CCc1[nH+]c(C)ccc1O
33099,CCCCCCCC[P+](C)(CCCCCCCC)CCCCCCCC
20240,[NH4+]
37739,Fc1cccc[nH+]1
9424,CCCCOC(=O)C(F)(F)[N+](=O)[O-]
40188,O=C(O)c1ccc(-c2ccccc2[N+](=O)[O-])o1
20204,O=[N+]([O-])C1([N+](=O)[O-])C[NH2+]C1
35694,O=S(=O)([O-])CCBr
8236,CCCCCOc1ccc(N=[N+]([O-])c2ccc(OCCCCC)cc2)cc1
40896,CC[N+](CC)(CC)CC(O)CO
24429,Cc1cc(C)n(-c2nnc(N=[N+]=[N-])nn2)n1
14665,CCN(CC)Cc1ccccc1[N+](=O)[O-]
39774,Ic1cc[n-]n1
27533,CN(C)c1ccc(N=Nc2ccc(S(=O)(=O)[O-])cc2)cc1
32564,CCCCCCC[P+](CC)(CC)CC
31397,C[NH+](C)CCO
36094,O=C1CCCC2=C1C(c1ccccc1[N+](=O)[O-])n1ncnc1N2Cc1ccccc1
17147,COC(=O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
35181,CCCCCCCCCCCC[P+](CC)(CC)CC
4651,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O
10688,O=C(N[N+](=O)[O-])N[N+](=O)[O-]
29975,CCCCCCCCC[N+]1(C)CCCC1
34491,CCCCN(CCCC)C1=[S][Zn+2]2([S]=C(N(CCCC)CCCC)[S-]2)[S-]1
20336,O=[N+]([O-])[N-][N+](=O)[O-]
39832,CC(O)C[NH+](CC(C)O)CC(C)O
2058,[N-]=[N+]=NC1CCCCC1
9398,O=Nc1ccccc1[N+](=O)[O-]
39353,CCCCCCCOC[N+](C)(C)CCO
27194,CC(C)CC[NH3+]
27062,CCCCCCCCCCCC[n+]1cccc(C)c1
21673,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-]
32804,C=C(C)C(=O)OCC[N+](C)(C)C
19449,CCCCCC[n+]1cccc(C)c1
34058,CC(C)C[C@H](/N=C/c1ccccc1)C(=O)[O-]
33355,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1
19333,CCC[n+]1ccn(Cc2ccccc2)c1C
23546,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
10143,O=[N+]([O-])c1ccc(NC2CCCCC2)c([N+](=O)[O-])c1
10182,CN(C)c1ccc(C=Cc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
35116,Cl[Pr-](Cl)(Cl)Cl
36321,CCCC[n+]1ccn([C@@H](C)c2ccccc2)c1
24767,O=C([O-])/C=C/C(=O)O
25012,C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
35620,O=C([O-])CCCCCCCC(=O)[O-]
41118,CCN(CC)c1c(N(CC)CC)[c+]1N[C@@H](CO)C(=O)O
37630,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1
19425,CCCC[N+](C)(C)C
41385,CCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-]
